Cuenta;Nombre;Naturaleza;Tercero;Auxiliar;C. Costo
2368040402;RETE ICA X SOBRETASA BOMBERIL (10%)     ;C;S;S;N
23680410;RETE ICA TARIFA 2.2X1000                ;C;S;S;N
236805;AUTORRETENCION DE ICA                   ;C;N;N;N
23680501;AUTORRETENCION X VENTAS (4,8X1000)      ;C;N;N;N
2368050101;AUTORETEICA TARIFA GENERAL 4,8X1000     ;C;S;S;N
2368050102;AUTORETEICA X AVISO Y TABLEROS (15%)    ;C;S;S;N
2368050103;AUTORETEICA X SOBRETASA BOMBERIL (10%)  ;C;S;S;N
2370;RETENCIONES Y APORTES DE NOMINA         ;C;S;N;N
237005;ENTIDADES PROMOTORAS DE SALUD           ;C;S;N;N
23700502;EMPLEADO (4%)                           ;C;S;S;N
237006;RIESGOS LABORALES                       ;C;S;N;N
23700601;RIESGOS LABORALES SURA (EMPLEADOR)      ;C;S;S;N
237010;APORTES A PARAFISCALES (EMPLEADOR)      ;C;S;N;N
23701001;ICBF                                    ;C;S;S;N
23701002;SENA                                    ;C;S;S;N
23701003;CAJAS DE COMPENSACION                   ;C;S;S;N
237045;FONDO DE PENSIONES                      ;C;S;N;N
23704501;EMPLEADOR (12%)                         ;C;S;S;N
23704502;EMPLEADO (4%)                           ;C;S;S;N
23704503;FONDO DE SOLIDARIDAD PENSIONAL          ;C;S;S;S
2380;ACREEDORES VARIOS                       ;C;S;N;N
238001;POLIZA GENERAL EMPRESA                  ;C;S;S;N
238002;POLIZA VEHICULO                         ;C;S;S;N
238005;AHORRO EMPLEADOS                        ;C;S;S;N
238008;REINTEGROS POR PAGAR                    ;C;S;N;N
238030;FONDO DE PENSIONES Y/O CESANTIAS        ;C;S;S;N
238095;OTROS                                   ;C;S;S;N
24;IMPUESTOS GRAVAMENES Y TASAS            ;C;S;N;N
2404;DE RENTA Y COMPLEMENTARIOS              ;C;S;N;N
240405;VIGENCIA FISCAL CORRIENTE               ;C;S;S;N
2408;IMPUESTO A LAS VENTAS POR PAGAR         ;C;S;N;N
240801;IVA GENERADO                            ;C;S;N;N
24080101;GENERADO POR VENTAS 5%                  ;C;S;S;N
24080102;GENERADO POR VENTAS 19%                 ;C;S;S;N
24080103;POR DEVOLUCIONES EN COMPRAS             ;C;S;N;N
240802;IVA DESCONTABLE                         ;D;S;N;N
24080201;DESCONTABLE POR COMPRAS 5%              ;D;S;S;N
24080202;DESCONTABLE POR COMPRAS 19%             ;D;S;S;N
24080203;SERVICIOS GRAVADOS 19%                  ;D;S;S;N
24080204;DEVOLUCIONES EN VENTAS 5%               ;D;S;S;N
24080205;DEVOLUCIONES EN VENTAS 19%              ;D;S;S;N
240805;IVA POR PAGAR                           ;C;S;N;N
24080501;VIGENCIA FISCAL                         ;C;S;S;N
2412;DE INDUSTRIA Y COMERCIO                 ;C;S;N;N
241205;VIGENCIA FISCAL CORRIENTE               ;C;S;S;N
2436;DE VEHICULOS                            ;C;S;N;N
25;OBLIGACIONES LABORALES                  ;C;S;N;N
2505;SALARIOS POR PAGAR                      ;C;S;N;N
250501;SALARIOS POR PAGAR                      ;C;S;S;N
250510;SUELDOS                                 ;C;S;S;N
