Cuenta;Nombre;Naturaleza;Cta Mayor;Cta Activa;Nivel;Tercero;Auxiliar;C. Costo
23701002;SENA                                    ;C;237010;S;0;S;S;N
23701003;CAJAS DE COMPENSACION                   ;C;237010;S;0;S;S;N
237045;FONDO DE PENSIONES                      ;C;2370;S;0;S;N;N
23704501;EMPLEADOR (12%)                         ;C;237045;S;0;S;S;N
23704502;EMPLEADO (4%)                           ;C;237045;S;0;S;S;N
23704503;FONDO DE SOLIDARIDAD PENSIONAL          ;C;237045;S;4;S;S;S
2380;ACREEDORES VARIOS                       ;C;23;S;2;S;N;N
238001;POLIZA GENERAL EMPRESA                  ;C;2380;S;0;S;S;N
238002;POLIZA VEHICULO                         ;C;2380;S;0;S;S;N
238005;AHORRO EMPLEADOS                        ;C;2380;S;0;S;S;N
238008;REINTEGROS POR PAGAR                    ;C;2380;S;3;S;N;N
238030;FONDO DE PENSIONES Y/O CESANTIAS        ;C;2380;S;3;S;S;N
238095;OTROS                                   ;C;2380;S;0;S;S;N
24;IMPUESTOS GRAVAMENES Y TASAS            ;C;2;S;1;S;N;N
2404;DE RENTA Y COMPLEMENTARIOS              ;C;24;S;0;S;N;N
240405;VIGENCIA FISCAL CORRIENTE               ;C;2404;S;0;S;S;N
2408;IMPUESTO A LAS VENTAS POR PAGAR         ;C;24;S;2;S;N;N
240801;IVA GENERADO                            ;C;2408;S;3;S;N;N
24080101;GENERADO POR VENTAS 19%                 ;C;240801;S;0;S;S;N
24080102;GENERADO POR VENTAS 5%                  ;C;240801;S;0;S;S;N
24080103;POR DEVOLUCIONES EN COMPRAS             ;C;240801;S;0;S;S;N
240802;IVA DESCONTABLE                         ;D;2408;S;3;S;N;N
24080201;DESCONTABLE POR COMPRAS 19%             ;D;240802;S;0;S;S;N
24080202;DESCONTABLE POR ARRENDAMIENTO B. INMUEBL;D;240802;S;0;S;S;N
24080203;SERVICIOS GRAVADOS 19%                  ;D;240802;S;0;S;S;N
24080204;DEVOLUCIONES EN VENTAS 19%              ;D;240802;S;0;S;S;N
24080205;IVA DESCONTABLE POR SERVICIOS 19%       ;D;240802;S;4;S;S;N
24080206;IVA DESCONTABLE X COMPRAS 5%            ;D;240802;S;4;S;S;N
24080207;IVA DESCONTABLE 5%                      ;D;240802;S;4;S;S;N
240805;IVA POR PAGAR                           ;C;2408;S;3;S;N;N
24080501;VIGENCIA FISCAL                         ;C;240805;S;0;S;S;N
2412;DE INDUSTRIA Y COMERCIO                 ;C;24;S;2;S;N;N
241205;VIGENCIA FISCAL CORRIENTE               ;C;2412;S;3;S;S;N
2436;DE VEHICULOS                            ;C;24;S;2;S;N;N
25;OBLIGACIONES LABORALES                  ;C;2;S;1;S;N;N
2505;SALARIOS POR PAGAR                      ;C;25;S;2;S;N;N
250501;SALARIOS POR PAGAR                      ;C;2505;S;0;S;S;N
250510;SUELDOS                                 ;C;2505;S;3;S;S;N
250515;AUXILIO DE TRANSPORTE                   ;C;2505;S;3;S;S;N
2510;CESANTIAS CONSOLIDADAS                  ;C;25;S;2;S;N;N
251001;CESANTIAS CONSOLIDADAS                  ;C;2510;S;0;S;S;N
251010;LEY 50/90 Y NORMAS POSTERIORES          ;C;2510;S;3;S;S;N
2515;INTERESES SOBRE CESANTIAS               ;C;25;S;2;S;N;N
251505;INTERESES SOBRE CESANTIAS               ;C;2515;S;3;S;S;S
2520;PRIMA DE SERVICIOS                      ;C;25;S;2;S;N;N
252005;PRIMA DE SERVICIOS                      ;C;2520;S;3;S;S;N
2525;VACACIONES CONSOLIDADAS                 ;C;25;S;2;S;N;N
252505;VACACIONES                              ;C;2525;S;3;S;S;S
2530;PRESTACIONES EXTRALEGALES               ;C;25;S;2;S;N;N
253015;DOTACION Y SUMINISTROS A TRABAJADORES   ;C;2530;S;3;S;S;N
26;PASIVOS ESTIMADOS Y PROVISIONES         ;C;2;S;1;S;N;N
2605;PARA COSTOS Y GASTOS                    ;C;26;S;2;S;N;N
260535;SERVICIOS PUBLICOS                      ;C;2605;S;3;S;S;N
2610;PARA OBLIGACIONES LABORALES             ;C;26;S;2;S;N;N
261005;CESANTIAS                               ;C;2610;S;3;S;S;N
261010;INTERESES SOBRE CESANTIAS               ;C;2610;S;3;S;S;N
261015;VACACIONES                              ;C;2610;S;3;S;S;N
